Symbol,Timeframe,Preset,Regime_Name,Trade_Count,Direct_Win_Rate_Pct,Invert_Win_Rate_Pct,Direct_PF,Invert_PF,Direct_PnL_USDT,Invert_PnL_USDT,Prefer_Fading
TRUMP_USDT,1m,MICRO_BURST,COUNTER_TREND_EMA200,16626,51.03,55.15,2.61,3.07,5.2272,6.1862,True
TRUMP_USDT,3m,FAST_SCALP,CHOP_HIGH (CHOP > 55),3623,45.57,49.82,2.09,2.48,0.8622,1.0778,True
TRUMP_USDT,3m,FAST_SCALP,CHOP_LOW (CHOP <= 55),9580,45.66,48.87,2.1,2.39,2.2916,2.7228,True
TRUMP_USDT,3m,FAST_SCALP,ADX_CHOP (ADX < 20),4523,45.99,48.26,2.13,2.33,1.1028,1.247,True
TRUMP_USDT,3m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),4946,45.37,49.27,2.08,2.43,1.1632,1.4334,True
TRUMP_USDT,3m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),3734,45.55,50.0,2.09,2.5,0.8878,1.1202,True
TRUMP_USDT,3m,FAST_SCALP,WITH_TREND_EMA200,6451,44.29,50.55,1.99,2.56,1.4194,1.985,True
TRUMP_USDT,3m,FAST_SCALP,COUNTER_TREND_EMA200,6752,46.92,47.78,2.21,2.29,1.7344,1.8156,True
TRUMP_USDT,3m,STANDARD,CHOP_HIGH (CHOP > 55),3188,46.14,49.37,2.14,2.44,0.7842,0.9284,True
TRUMP_USDT,3m,STANDARD,CHOP_LOW (CHOP <= 55),8931,45.92,48.08,2.12,2.32,2.169,2.4392,True
TRUMP_USDT,3m,STANDARD,ADX_CHOP (ADX < 20),3930,46.08,47.66,2.14,2.28,0.9634,1.0502,True
TRUMP_USDT,3m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),4691,45.47,48.69,2.08,2.37,1.1098,1.3212,True
TRUMP_USDT,3m,STANDARD,ADX_BREAKOUT (ADX > 30),3498,46.54,48.91,2.18,2.39,0.88,0.9962,True
TRUMP_USDT,3m,STANDARD,WITH_TREND_EMA200,5883,44.77,49.79,2.03,2.48,1.3344,1.7474,True
TRUMP_USDT,3m,STANDARD,COUNTER_TREND_EMA200,6236,47.11,47.13,2.23,2.23,1.6188,1.6202,True
TRUMP_USDT,3m,MICRO_BURST,CHOP_HIGH (CHOP > 55),2659,45.66,49.42,2.1,2.44,0.636,0.776,True
TRUMP_USDT,3m,MICRO_BURST,CHOP_LOW (CHOP <= 55),8320,46.27,48.65,2.15,2.37,2.062,2.3392,True
