symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
BLUAIUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
BLUEBIRDUSDT,futures/um,DELISTED_HISTORICAL,2022-11,2024-03,17,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-11 to 2024-03,2022-11 to 2024-03,2022-11 to 2024-03,2023-05 to 2024-03,2022-11 to 2024-03,2022-11 to 2024-03,2022-11 to 2024-03,2022-11 to 2024-03
BLURUSDT,futures/um,ACTIVE_PERPETUAL,2023-04,2026-08,41,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-04 to 2026-08,2023-04 to 2026-08,2023-04 to 2026-08,2023-05 to 2024-04,2023-04 to 2026-08,2023-04 to 2026-08,2023-04 to 2026-08,2023-04 to 2026-08
BLZUSDT,futures/um,DELISTED_HISTORICAL,2020-09,2024-12,52,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2024-12,2020-09 to 2024-12,2020-09 to 2024-12,2023-05 to 2024-04,2020-09 to 2024-12,2020-09 to 2024-12,2020-09 to 2024-12,2020-09 to 2024-12
BMNRUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
BMTUSDT,futures/um,ACTIVE_PERPETUAL,2025-03,2026-08,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,N/A,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08
BNBBUSD,futures/um,DELISTED_BUSD,2021-07,2023-12,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-07 to 2023-12,2021-07 to 2023-12,2021-07 to 2023-12,2023-05 to 2023-12,2021-07 to 2023-12,2021-07 to 2023-12,2021-07 to 2023-12,2021-07 to 2023-12
BNBUSDC,futures/um,ACTIVE_PERPETUAL,2024-01,2026-08,32,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2024-04,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08
BNBUSDT,futures/um,ACTIVE_PERPETUAL,2020-02,2026-08,79,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2023-05 to 2024-04,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08
BNCUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
BNTUSDT,futures/um,ACTIVE_PERPETUAL,2023-08,2026-08,37,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2024-04,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08
BNXUSDT,futures/um,DELISTED_HISTORICAL,2022-04,2025-03,36,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-04 to 2025-03,2022-04 to 2025-03,2022-04 to 2025-03,2023-05 to 2024-04,2022-04 to 2025-03,2022-04 to 2025-03,2022-04 to 2025-03,2022-04 to 2025-03
BNXUSDTSETTLED,futures/um,SETTLED,2022-04,2023-02,3,3,aggTrades; klines; trades,2022-04 to 2023-02,2022-04 to 2023-02,2022-04 to 2023-02,N/A,N/A,N/A,N/A,N/A
BOBUSDT,futures/um,DELISTED_HISTORICAL,2025-11,2026-04,6,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-04,2025-11 to 2026-04,2025-11 to 2026-04,N/A,2025-11 to 2026-04,2025-11 to 2026-04,2025-11 to 2026-04,2025-11 to 2026-04
BOMEUSDC,futures/um,ACTIVE_PERPETUAL,2024-04,2026-08,29,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,N/A,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08
BOMEUSDT,futures/um,ACTIVE_PERPETUAL,2024-03,2026-08,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2024-04,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08
BONDUSDT,futures/um,DELISTED_HISTORICAL,2023-10,2024-12,15,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-04,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-12
